gs,An,cs,hs,VPD
0.644,15,840,0.6,2.33
0.631,15,845,0.6,2.33
0.63,15,850,0.6,2.33
0.637,15,855,0.6,2.33
0.614,15,860,0.6,2.33
0.647,15,865,0.6,2.33
0.628,15,870,0.6,2.33
0.639,15,875,0.6,2.33
0.624,15,880,0.6,2.33
0.63,15,885,0.6,2.33
0.638,15,890,0.6,2.33
0.627,15,895,0.6,2.33
0.632,15,900,0.6,2.33
0.62,15,905,0.6,2.33
0.647,15,910,0.6,2.33
0.618,15,915,0.6,2.33
0.645,15,920,0.6,2.33
0.637,15,925,0.6,2.33
0.649,15,930,0.6,2.33
0.624,15,935,0.6,2.33
0.648,15,940,0.6,2.33
0.619,15,945,0.6,2.33
0.634,15,950,0.6,2.33
0.642,15,955,0.6,2.33
0.638,15,960,0.6,2.33
0.63,15,965,0.6,2.33
0.615,15,970,0.6,2.33
0.618,15,975,0.6,2.33
0.64,15,980,0.6,2.33
0.624,15,985,0.6,2.33
0.61,15,990,0.6,2.33
0.644,15,995,0.6,2.33
0.64,15,1000,0.6,2.33
